                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.76567,                0.35758,                 1.0906,                0.99483,                0.99713,                0.99466,                0.78167,                0.83046,                0.32937,                 1.1189,              0.0004556,              0.0004556,              0.0004556
                     81,                0.75213,                0.36672,                 1.0799,                0.99692,                      1,                0.99471,                0.79079,                 0.8265,                0.31915,                 1.1125,              0.0004358,              0.0004358,              0.0004358
                     82,                0.75166,                0.35894,                 1.0771,                0.99565,                      1,                0.99454,                0.79755,                0.82931,                0.32306,                 1.1166,               0.000416,               0.000416,               0.000416
                     83,                0.74719,                0.35029,                 1.0902,                0.99409,                      1,                 0.9948,                0.79342,                0.83126,                0.32305,                 1.1097,              0.0003962,              0.0003962,              0.0003962
                     84,                0.74473,                 0.3485,                 1.0913,                0.99654,                      1,                0.99474,                0.80729,                0.81103,                0.31224,                 1.1019,              0.0003764,              0.0003764,              0.0003764
                     85,                0.75962,                0.35184,                  1.082,                0.99624,                      1,                 0.9946,                0.80006,                0.82212,                0.31596,                 1.1029,              0.0003566,              0.0003566,              0.0003566
                     86,                0.74737,                0.34549,                 1.0881,                0.99577,                      1,                0.99471,                0.78807,                0.82239,                 0.3203,                 1.0967,              0.0003368,              0.0003368,              0.0003368
                     87,                0.74084,                0.34105,                 1.0704,                0.99692,                      1,                0.99486,                0.78842,                0.82134,                0.31362,                 1.1003,               0.000317,               0.000317,               0.000317
                     88,                 0.7304,                0.34674,                 1.0799,                 0.9969,                      1,                0.99466,                0.78357,                0.81656,                0.31664,                 1.1055,              0.0002972,              0.0002972,              0.0002972
                     89,                0.73019,                0.33497,                 1.0627,                0.99691,                      1,                0.99468,                0.80093,                0.82062,                0.31198,                 1.1085,              0.0002774,              0.0002774,              0.0002774
                     90,                0.71742,                0.34106,                 1.0681,                0.99417,                0.99713,                 0.9946,                0.80362,                0.82385,                0.31611,                 1.1076,              0.0002576,              0.0002576,              0.0002576
                     91,                0.74834,                0.32162,                 1.1041,                 0.9941,                      1,                0.99451,                0.79528,                0.82257,                0.31385,                 1.1136,              0.0002378,              0.0002378,              0.0002378
                     92,                0.73385,                0.30844,                 1.1045,                0.99565,                0.99713,                0.99454,                0.79111,                0.82888,                0.32212,                 1.1153,               0.000218,               0.000218,               0.000218
                     93,                0.72252,                0.30544,                 1.0919,                0.99439,                0.99425,                0.99457,                0.79085,                0.83703,                0.31368,                 1.1138,              0.0001982,              0.0001982,              0.0001982
                     94,                0.71785,                0.30947,                 1.0851,                0.99413,                      1,                 0.9944,                0.79291,                0.82561,                0.31953,                 1.1083,              0.0001784,              0.0001784,              0.0001784
                     95,                0.72158,                0.30564,                 1.0838,                 0.9955,                0.99713,                0.99434,                0.79499,                0.82725,                0.32145,                 1.1065,              0.0001586,              0.0001586,              0.0001586
                     96,                0.72145,                0.30433,                 1.0899,                0.99385,                0.99713,                 0.9944,                0.79085,                0.83597,                0.32246,                 1.1116,              0.0001388,              0.0001388,              0.0001388
                     97,                0.72123,                0.30694,                 1.0894,                0.99475,                0.99713,                0.99443,                0.79133,                 0.8333,                0.32249,                  1.109,               0.000119,               0.000119,               0.000119
                     98,                0.71586,                0.30107,                 1.0875,                0.99487,                0.99713,                0.99443,                0.79342,                0.83023,                0.31571,                 1.1096,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.71128,                0.29734,                 1.0927,                0.99394,                0.99713,                0.99443,                 0.7933,                0.82896,                 0.3162,                 1.1104,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.71085,                0.29836,                 1.0798,                0.99414,                0.99713,                0.99443,                0.79179,                0.82735,                0.31786,                  1.109,               5.96e-05,               5.96e-05,               5.96e-05
