                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.90808,                0.44806,                  1.185,                0.99149,                      1,                0.99347,                0.78226,                0.91293,                0.37507,                 1.2195,              0.0008812,              0.0008812,              0.0008812
                     63,                0.88586,                0.44648,                 1.1714,                 0.9797,                0.98851,                0.99266,                0.77145,                 0.8845,                0.38739,                 1.2037,             0.00087922,             0.00087922,             0.00087922
                     64,                0.88115,                0.43498,                 1.1797,                0.98859,                0.99628,                0.99462,                0.78453,                0.89547,                0.37061,                 1.2076,             0.00087724,             0.00087724,             0.00087724
                     65,                0.88478,                0.44656,                 1.1692,                0.98233,                      1,                0.99385,                 0.7772,                0.92076,                0.39212,                 1.2415,             0.00087526,             0.00087526,             0.00087526
                     66,                0.89422,                0.44451,                 1.1686,                0.99366,                      1,                0.99445,                0.77097,                 0.9105,                0.36825,                 1.2258,             0.00087328,             0.00087328,             0.00087328
                     67,                0.86853,                0.42263,                 1.1673,                0.99664,                      1,                 0.9944,                0.75918,                0.90945,                0.36604,                 1.2321,              0.0008713,              0.0008713,              0.0008713
                     68,                0.89157,                 0.4369,                 1.1701,                0.99713,                0.99988,                0.99451,                0.78065,                0.89756,                0.36276,                 1.2118,             0.00086932,             0.00086932,             0.00086932
                     69,                0.87306,                 0.4415,                 1.1653,                0.98494,                0.98851,                0.99141,                0.75571,                0.93936,                0.39205,                 1.2687,             0.00086734,             0.00086734,             0.00086734
                     70,                0.88918,                0.43362,                 1.1756,                0.99344,                      1,                0.99439,                0.77338,                0.90141,                0.37816,                 1.2317,             0.00086536,             0.00086536,             0.00086536
                     71,                0.88331,                0.44066,                 1.1735,                0.98738,                      1,                 0.9942,                 0.7526,                0.93732,                 0.3888,                 1.2471,             0.00086338,             0.00086338,             0.00086338
                     72,                0.86049,                0.41983,                 1.1539,                0.99096,                      1,                0.99488,                0.78365,                0.90397,                 0.3534,                 1.2017,              0.0008614,              0.0008614,              0.0008614
