                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.78375,                0.35887,                 1.1121,                0.99281,                0.99713,                0.99465,                0.78066,                0.86642,                0.31997,                  1.188,             9.1684e-05,             9.1684e-05,             9.1684e-05
                     45,                0.76564,                0.34824,                 1.1116,                0.99406,                0.99713,                0.99451,                0.79813,                0.86071,                0.31432,                 1.1723,             9.1486e-05,             9.1486e-05,             9.1486e-05
                     46,                0.75559,                0.35469,                 1.1049,                0.99677,                      1,                 0.9944,                0.80072,                0.86839,                0.32941,                 1.1673,             9.1288e-05,             9.1288e-05,             9.1288e-05
                     47,                0.76323,                0.35493,                 1.1156,                0.99643,                      1,                0.99468,                0.77751,                0.84429,                0.30678,                 1.1667,              9.109e-05,              9.109e-05,              9.109e-05
                     48,                0.77598,                 0.3548,                 1.1069,                 0.9969,                      1,                0.99454,                0.79549,                 0.8651,                0.30448,                 1.1609,             9.0892e-05,             9.0892e-05,             9.0892e-05
                     49,                0.77272,                0.35396,                 1.1025,                0.99691,                      1,                0.99423,                0.77021,                0.84639,                0.31209,                 1.1552,             9.0694e-05,             9.0694e-05,             9.0694e-05
                     50,                0.77858,                0.34914,                 1.1044,                0.99066,                0.99138,                0.99404,                0.79426,                0.84734,                0.32528,                 1.1617,             9.0496e-05,             9.0496e-05,             9.0496e-05
                     51,                0.75153,                0.33931,                 1.0928,                0.99307,                0.99713,                0.99491,                0.79797,                0.85718,                0.31611,                 1.1663,             9.0298e-05,             9.0298e-05,             9.0298e-05
                     52,                0.74593,                0.33884,                 1.1094,                0.99634,                      1,                0.99468,                0.76296,                0.88489,                0.32246,                 1.1794,               9.01e-05,               9.01e-05,               9.01e-05
                     53,                0.74939,                0.34352,                 1.0987,                0.99659,                      1,                 0.9948,                0.78402,                0.87793,                 0.3164,                 1.2035,             8.9902e-05,             8.9902e-05,             8.9902e-05
                     54,                 0.7487,                0.34873,                 1.1022,                0.99679,                      1,                0.99491,                0.80436,                0.83603,                0.30432,                 1.1553,             8.9704e-05,             8.9704e-05,             8.9704e-05
                     55,                0.74199,                0.35391,                 1.0956,                0.99681,                      1,                 0.9942,                0.79085,                0.84742,                0.30406,                 1.1413,             8.9506e-05,             8.9506e-05,             8.9506e-05
                     56,                0.76747,                0.35256,                  1.107,                0.99713,                0.99975,                0.99417,                0.80635,                0.83759,                0.30789,                 1.1363,             8.9308e-05,             8.9308e-05,             8.9308e-05
                     57,                 0.7487,                0.34178,                 1.1007,                 0.9933,                      1,                0.99471,                0.78339,                0.87502,                0.31511,                 1.2151,              8.911e-05,              8.911e-05,              8.911e-05
                     58,                 0.7299,                0.33756,                 1.0936,                0.99602,                      1,                  0.994,                0.77346,                0.83601,                0.30235,                 1.1528,             8.8912e-05,             8.8912e-05,             8.8912e-05
                     59,                0.73604,                0.34198,                 1.0976,                0.99427,                0.99693,                0.99457,                0.79378,                 0.8502,                0.31053,                 1.1611,             8.8714e-05,             8.8714e-05,             8.8714e-05
                     60,                0.73737,                0.33621,                 1.0936,                0.98444,                      1,                0.99399,                0.79623,                 0.8627,                0.31242,                  1.168,             8.8516e-05,             8.8516e-05,             8.8516e-05
                     61,                0.72826,                0.33785,                 1.0849,                0.99138,                0.99713,                 0.9946,                0.80608,                0.84325,                0.30518,                 1.1574,             8.8318e-05,             8.8318e-05,             8.8318e-05
                     62,                0.74857,                 0.3452,                 1.0944,                0.99132,                0.99713,                0.99434,                0.79439,                0.86932,                0.31828,                 1.1833,              8.812e-05,              8.812e-05,              8.812e-05
                     63,                0.71777,                0.32474,                 1.0834,                0.99328,                0.99713,                0.99428,                0.78905,                0.87067,                0.31727,                 1.1771,             8.7922e-05,             8.7922e-05,             8.7922e-05
